Name,City,Latitude,Longitude,Description,svg,
La Sagrada Familia,Barcelona,41.403644,2.174481,Cathedral,icon-assets/sagrada.svg,
Park Guell,Barcelona,41.414576,2.153019,Gaudi,icon-assets/parkguell.svg,
Platja de Barceloneta,Barcelona,41.379382,2.193089,Sail shaped building,icon-assets/platja.svg,
La Rambla,Barcelona,41.379674,2.174635,Street,icon-assets/map.svg,
Gothic Quarter,Barcelona,41.382252,2.176628,Neighborhood,icon-assets/gothic.svg,
Casa Mila,Barcelona,41.395533,2.161715,Gaudi,icon-assets/casamila.svg,
Casa Batllo,Barcelona,41.391484,2.164721,Gaudi,icon-assets/casabatlo.svg,
Mercado de La Boqueria,Barcelona,41.381756,2.171446,Market,icon-assets/market.svg,
Camp Nou Stadium,Barcelona,41.380872,2.122745,Stadium,icon-assets/campnou.svg,
Catedral de Barcelona,Barcelona,41.383914,2.176188,Cathedral,icon-assets/cathedral.svg,
Gran Via,Madrid,40.420285,-3.704217,,icon-assets/map.svg,
Mercado El Rastro,Madrid,40.408617,-3.707455,,icon-assets/market.svg,
Plaza Mayor,Madrid,40.415601,-3.707637,,icon-assets/plaza.svg,
Museo Nacional Centro de Arte Reina Sofía,Madrid,40.407806,-3.693463,,icon-assets/picasso.svg,
Mercado de Vallehermoso,Madrid,40.434089,-3.708237,,icon-assets/market.svg,
Restaurante DiverXO,Madrid,40.458206,-3.686181,,icon-assets/fine-dining.svg,
Teatros de Canal,Madrid,40.438251,-3.705122,,icon-assets/theater.svg,
Parque el Capricho,Madrid,40.45501,-3.60025,,icon-assets/tree.svg,
Centro Cultural Conde Duque,Madrid,40.42748,-3.71088,,icon-assets/museum.svg,
Wanda Metropolitano,Madrid,40.435991,-3.599423,Atletico,icon-assets/wanda.svg,
Estadio Santiago Bernabeu,Madrid,40.452949,-3.688376,Real,icon-assets/bernabeu.svg,
Plaza de Toros de Las Ventas,Madrid,40.43205,-3.663302,,icon-assets/bull.svg,
Museo Nacional del Prado,Madrid,40.4138,-3.6921,,icon-assets/sculpture.svg,
Alcala Gate,Madrid,40.419991,-3.688737,,icon-assets/alcala-gate (1).svg,
