,Neighborhood,code,Available,Count,Price
0,Baró de Viver,bar58,0.6386070550261326,2.1538461538461537,43.36312336455508
1,Can Baró,bar34,0.48324038212344406,49.51759005687803,68.04948599888745
2,Can Peguera,bar47,0.3460772104607721,1.2727272727272727,25.756555423122766
3,Canyelles,bar49,0.6331033150891272,6.306363253265908,40.04772138970459
4,Ciutat Meridiana,bar55,0.7244961331860181,9.918896144933642,27.519385001145533
5,Diagonal Mar i el Front Marítim del Poblenou,bar69,0.6490501782310885,178.92458394775647,338.2700539739422
6,el Baix Guinardó,bar33,0.4417358249639787,141.47882873393723,72.56019480925859
7,el Barri Gòtic,bar2,0.4900212817424155,1142.8159224936815,112.92928252461125
8,el Besòs i el Maresme,bar70,0.47660917975842243,234.00589721988206,82.9258462893555
9,el Bon Pastor,bar59,0.3083789960457073,17.83863492732252,40.174424098114656
10,el Camp d'en Grassot i Gràcia Nova,bar32,0.4970380289294397,351.8544650379107,131.02052120913854
11,el Camp de l'Arpa del Clot,bar64,0.5149703406029031,323.1714767221403,90.86935778045067
12,el Carmel,bar37,0.6056499854815595,96.65156941226037,79.14229351350579
13,el Clot,bar65,0.4697576876665308,169.23635980619338,57.84812746979771
14,el Coll,bar29,0.5862468120667834,44.28902464714557,70.15950801282484
15,el Congrés i els Indians,bar62,0.47112543885338154,50.90162207710133,139.7921550076523
16,el Fort Pienc,bar5,0.5023711627760716,573.4506003791869,121.09805577636196
17,el Guinardó,bar35,0.4959620556135982,183.9987365761213,82.44199357906906
18,el Parc i la Llacuna del Poblenou,bar66,0.46327684663850704,278.7286707394144,96.95394875209175
19,el Poble Sec,bar11,0.5017481379797807,1007.209351305813,100.34097812854642
20,el Poblenou,bar68,0.5165331054025688,478.4137349905203,116.96783441052682
21,el Putxet i el Farró,bar27,0.5426779410924739,212.21824310090582,132.14470541208837
22,el Raval,bar1,0.4394818322653191,1420.9559907348917,103.16398028766866
23,el Turó de la Peira,bar46,0.5345574887823892,25.297029702970296,43.65706126612999
24,Horta,bar43,0.6197315100181344,42.597429955761534,53.212413540695266
25,Hostafrancs,bar15,0.48655074226585115,258.12197177164524,107.0289552085718
26,l'Antiga Esquerra de l'Eixample,bar8,0.530366343224351,990.6593638087213,143.86004030043773
27,la Barceloneta,bar3,0.4744424869564059,324.188250157928,89.2612676507624
28,la Bordeta,bar16,0.4964010821992863,140.55614072045503,68.8092802039058
29,la Dreta de l'Eixample,bar7,0.579197414237684,1851.8947368421052,214.56469676592943
30,la Font d'en Fargues,bar36,0.45731709747271954,22.83652833368443,182.73576402559348
31,la Font de la Guatlla,bar14,0.498708041511061,139.32589003581208,89.72551587329465
32,la Guineueta,bar48,0.6002112585331745,17.14661891721087,50.806072069865564
33,la Marina de Port,bar13,0.37763459644629266,102.01242628475147,75.88636207147066
34,la Marina del Prat Vermell,bar12,0.6930634154377582,11.994944175268591,1138.6583534700244
35,la Maternitat i Sant Ramon,bar20,0.4677608175041045,178.309458605435,114.40633859147457
36,la Nova Esquerra de l'Eixample,bar9,0.4953271509614758,806.381052631579,150.36274775812714
37,la Prosperitat,bar52,0.5827764471906435,18.991994944175268,47.203621065156455
38,la Sagrada Família,bar6,0.5384616758147354,1032.7578947368422,123.63950766349413
39,la Sagrera,bar61,0.48712922013482296,73.9688224141563,48.48468273963981
40,la Salut,bar30,0.5318843828698168,118.25784706130187,71.86702486015564
41,la Teixonera,bar38,0.4749609368354707,26.219717716452497,43.625805409165096
42,la Trinitat Nova,bar53,0.6236994591752706,9.075010535187527,46.44639521588567
43,la Trinitat Vella,bar57,0.5199015311668613,8.536662452591656,46.318022110389464
44,la Vall d'Hebron,bar41,0.5678955487214864,10.07267748051401,48.99199016391768
45,la Verneda i la Pau,bar73,0.5679544792835483,72.50789972614282,36.59921769652463
46,la Vila de Gràcia,bar31,0.4876031684309201,1071.0920387531592,115.66914772019591
47,la Vila Olímpica del Poblenou,bar67,0.59710486038698,191.91910680429746,241.39632571137577
48,les Corts,bar19,0.49031439542974237,220.98377922898672,119.46739705990562
49,les Roquetes,bar50,0.48920032396967583,16.147040235938487,40.717861396143334
50,les Tres Torres,bar24,0.5905052140358175,30.679376448283126,102.48333810109705
51,Montbau,bar40,0.3410178087762755,14.301664208974088,33.49876646145478
52,Navas,bar63,0.4814945679258526,90.42342532125554,54.148948111721445
53,Pedralbes,bar21,0.5362481884002469,27.98820307562671,93.57860016911141
54,Porta,bar45,0.52885998447483,43.827680640404466,36.75216337957915
55,Provençals del Poblenou,bar71,0.5267213812866448,106.31739679865207,84.35057360059626
56,Sant Andreu,bar60,0.4898974006869651,74.96840109542869,140.5050694753276
57,Sant Antoni,bar10,0.5160300766851313,963.0065290648694,119.09948402041755
58,Sant Genís dels Agudells,bar39,0.6149143366932763,23.29787234042553,83.81662998174053
59,Sant Gervasi - Galvany,bar26,0.5887270322213985,331.3987781756899,153.27080464798635
60,Sant Gervasi - la Bonanova,bar25,0.4518530470987718,56.195240101095195,98.87572773529651
61,Sant Martí de Provençals,bar72,0.44941846689508924,85.65620391826417,50.39285843226674
62,"Sant Pere, Santa Caterina i la Ribera",bar4,0.4619761693066545,1017.8180286436394,101.37148691556357
63,Sants,bar18,0.506488845653887,365.23067200337056,87.22992709608992
64,Sants - Badal,bar17,0.4980912941954558,190.11057287278854,72.63864118430519
65,Sarrià,bar23,0.5422791354208137,46.509056444818874,86.50894831548776
66,Torre Baró,bar54,0.5590142675839676,9.226880134821993,33.570257191467405
67,Vallbona,bar56,0.5517302791066199,3.7684365781710913,94.52175226665868
68,Vallcarca i els Penitents,bar28,0.4650499646573261,120.61604886267902,91.8259132356373
69,"Vallvidrera, el Tibidabo i les Planes",bar22,0.5214525099791384,29.756688434800928,128.12167189733873
70,Verdun,bar51,0.44171216879397057,25.91215504529176,41.56585794629682
71,Vilapicina i la Torre Llobeta,bar44,0.4968091364046682,56.36085949020434,42.05388774745742
